CODE2,area,Ycount,Ycount_EXP,id,population,std_born_CNT,std_divorce_CNT,std_crime_CNT,std_high_edu_CNT,std_mid_edu_CNT,std_low_edu_CNT,std_cvs_CNT,std_disable_CNT,std_low_CNT,std_midlow_CNT,std_native_CNT,std_plant_rate,std_hospital,std_waterside_rate,std_edu_per_kid,std_OLDW_CNT,std_first_inds_CNT,std_second_inds_CNT,std_third_inds_CNT,std_rcp_index,std_sale_index,log_Ycount,caseRate
A6502-20,0,4,6.170678403084956,202,2868,-0.28832176275066246,0.09037557473359252,0.40938658349284096,-0.767436361559384,0.8523512372248695,0.9435305747984777,-0.7624334197003069,-0.19460545536591592,-0.08602009040002155,2.7021487785290277,-0.03590488910126186,-0.42747411844287714,-0.7566871004841581,-0.2651886873694827,-0.5039770676194709,-0.2153495023861204,-0.35679044623646006,0.11673672620995444,-0.32460040988915306,0.2098773907914561,0.30123722406931797,1.6094379124341003,139.47001394700138
A6501-H7,0,6,7.674619896723863,203,3567,0.4070434998005561,0.6068821661537245,-0.995212099005494,0.7151235748884492,0.3296817813635893,-0.44766142444608414,-0.04689947885105795,-0.3545493227098513,-0.5527669317535195,-0.9797157084972158,-0.4721528506482277,0.04629885878490705,-0.5154276437073678,-0.15631257781038063,-0.5440738395086929,-0.2153495023861204,-0.35679044623646006,0.03275293477999296,-0.16596916714662635,0.44989938666962304,0.501607102856114,1.9459101490553132,168.2085786375105
A6501-H8,0,9,5.766184839702818,204,2680,-0.41168420697296376,-0.2114663303011879,-1.260996191228971,-0.817161974334653,0.37640083887074277,1.3042099820100308,-0.04689947885105795,0.151939590545944,-0.35273257117344897,-1.2474876711900333,-0.311429917446714,0.8496718583000682,-0.27416818693057754,0.026683363854562273,-0.7788871269421498,11.113269302348968,-0.35679044623646006,-0.13521464807993,-0.2214901021065107,-0.3997400692087192,-0.3750125398323649,2.302585092994046,335.82089552238807
A6501-H9,0,14,6.254589301871676,205,2907,-0.2021563722067985,-0.0020355425951397573,-1.19297703797674,-0.6072093870612952,0.4026803087185167,1.448481744894652,-0.04689947885105795,0.17859690176993323,-0.37495861123790125,-1.3144306618632378,-0.4721528506482277,-0.41400934401156975,-0.7566871004841581,-0.2651886873694827,-0.7843798354201253,-0.2153495023861204,-0.35679044623646006,-0.01763734007798393,-0.28097681813495823,-0.18230133585541186,-0.15066906870464858,2.70805020110221,481.59614723082217
A6501-I0,0,5,6.039433151136497,206,2807,-0.2944593831170032,-0.09429580149648258,-1.2229414226693527,-0.5685339104583083,0.3442814868345747,0.2530871381363618,0.668634461998191,-0.5144931900537866,-0.44163673143125814,0.6938590583328949,0.5610660056472178,-0.3033528674390599,0.932129096953374,-0.2651886873694827,-0.7088550938479609,8.498972655102408,0.4746159805973137,-0.20240168122389918,-0.20166119676369487,-0.27808932411678083,-0.24949879166840003,1.791759469228055,178.12611328820805
A6501-I1,0,3,5.340175661247162,207,2482,-0.5944441685751699,-0.39414164292584725,-1.3203256729203448,-0.9663388126604598,0.22456390197249376,0.5519357898259344,-0.7624334197003069,-0.8876955471896357,-0.37495861123790125,-0.6450007551311936,0.7447493578775192,-0.0741338345042292,-0.7566871004841581,0.18429998001801678,-0.7926188981370887,-0.2153495023861204,-0.35679044623646006,-0.10162113150794541,-0.3840871259176006,-0.5894002859662296,-0.5706953913005934,1.3862943611198906,120.87026591458502
A6501-I2,0,8,5.7210020480484305,208,2659,-0.431067839264107,-0.23084098467047018,-1.26728871201442,-0.780328187093713,0.25376331291446474,0.5725460416665945,-0.04689947885105795,0.12528227932195476,-0.5527669317535195,0.2252581236204639,0.60698684370479306,-0.42747411844287714,-0.5154276437073678,-0.16651188350673876,-0.7006160311309975,-0.2153495023861204,0.4746159805973137,-0.1688081646519146,-0.31666884775202675,-0.4198555467436068,-0.39576678165475304,2.1972245773362196,300.86498683715683
A6501-I3,0,9,6.585929774003853,209,3061,-0.06000973540508207,0.1400452561129284,-1.1468318855501156,-0.4488241019252534,0.5778767743703425,0.4488845306226335,0.668634461998191,-0.32789201148586206,-0.35273257117344897,-0.44417178311158034,1.0661952242805466,-0.42747411844287714,-0.27416818693057754,-0.2651886873694827,-0.6237181124393391,-0.2153495023861204,-0.35679044623646006,-8.405817919916324e-4,-0.3721897827119111,-0.0347878339329042,0.001528704659529405,2.302585092994046,294.02156158118265
A6501-I4,0,5,5.6650614488572835,210,2633,-0.4550666221007605,-0.25482865198481935,-1.2750794520344992,-0.7213941275082091,0.04936743632066797,0.510715286144614,-0.7624334197003069,-0.03466158802198058,-0.4638627714957104,-0.3102858017651715,0.7217889388487315,-0.41372282278013,1.1733885537301643,-0.2651886873694827,-0.7733944184641742,-0.2153495023861204,-0.35679044623646006,-0.01763734007798393,-0.0747562025696735,-0.4447604236915628,-0.42146250962532844,1.791759469228055,189.89745537409797
A6501-I5,0,5,5.30144755411483,211,2464,-0.6110587105390067,-0.4107484895280889,-1.3257192621650153,-0.791378323265995,-0.02071114994006235,-0.36522041708344344,-0.04689947885105795,-1.1809259706535173,-0.4860888115601627,-0.3102858017651715,1.0891556433093343,-0.23627865861402286,-0.7566871004841581,-0.26513500663089096,-0.7514235845522718,-0.2153495023861204,0.4746159805973137,-0.03443409836397622,-0.4197791555346691,-0.6066421238532759,-0.5884847414340687,1.791759469228055,202.9220779220779
